From	Entry	Reviewed
NP_006391.1	Q13561	reviewed
NP_006391.1	V9HW58	unreviewed
NP_116253.2	Q8NAV1	reviewed
NP_077307.2	Q9BTX7	reviewed
NP_653202.1	Q96MX0	reviewed
NP_653202.1	A0A024R6Y8	unreviewed
NP_003277.1	P11387	reviewed
NP_003277.1	Q9BVT2	unreviewed
NP_009117.2	Q9BV73	reviewed
NP_127490.1	O95229	reviewed
NP_071317.2	Q86UP6	reviewed
NP_004938.1	Q8IZD9	reviewed
NP_064574.1	Q9NPA8	reviewed
NP_064574.1	A0A024R9D9	unreviewed
NP_055935.4	Q8TCU4	reviewed
NP_001014437.1	P49589	reviewed
NP_689596.4	Q8IYB7	reviewed
NP_612808.1	Q9C0K0	reviewed
NP_612808.1	L8B7P7	unreviewed
NP_006423.1	P61916	reviewed
NP_006423.1	A0A024R6C0	unreviewed
NP_005695.3	Q92729	reviewed
NP_004573.2	P53611	reviewed
NP_004573.2	A8KAJ2	unreviewed
NP_004573.2	Q6IB63	unreviewed
NP_009041.2	Q99973	reviewed
NP_612446.1	Q96D09	reviewed
NP_612446.1	B3KW05	unreviewed
NP_149052.1	Q96JE9	reviewed
NP_003457.1	Q06710	reviewed
NP_003457.1	R9W7C9	unreviewed
NP_005564.1	P20700	reviewed
NP_659480.1	Q969S2	reviewed
NP_659480.1	A0A024R361	unreviewed
NP_001783.2	P19022	reviewed
NP_001783.2	A0A024RC42	unreviewed
NP_000654.2	P80404	reviewed
NP_000654.2	X5D8S1	unreviewed
NP_003654.3	Q9UFW8	reviewed
NP_115964.2	Q9BZE0	reviewed
NP_066270.1	P12532	reviewed
NP_116265.1	Q96IF1	reviewed
NP_005248.2	Q92908	reviewed
NP_060791.3	Q8TDN6	reviewed
NP_003608.1	O15539	reviewed
NP_003608.1	A0A024R8X9	unreviewed
NP_066953.1	P62937	reviewed
NP_066953.1	V9HWF5	unreviewed
NP_000336.1	P37840	reviewed
NP_004498.1	O60921	reviewed
NP_004498.1	A4D2F2	unreviewed
NP_002096.1	P16104	reviewed
NP_060394.1	Q9NWQ9	reviewed
NP_009034.2	P49821	reviewed
NP_009034.2	E5KNH5	unreviewed
NP_064423.2	P78348	reviewed
NP_064423.2	A8K1U5	unreviewed
NP_057396.1	Q9Y2W2	reviewed
NP_057396.1	A0A024RAW9	unreviewed
NP_005376.2	P30414	reviewed
NP_663735.2	Q9BZD4	reviewed
NP_055112.2	O95571	reviewed
NP_055112.2	A0A0S2Z5B3	unreviewed
NP_002792.1	P40306	reviewed
NP_057563.3	Q8N114	reviewed
NP_002907.1	P35249	reviewed
NP_001561.3	O43187	reviewed
NP_006494.1	P43686	reviewed
NP_006494.1	A8K2M0	unreviewed
NP_001009991.2	Q4VX76	reviewed
NP_001009991.2	B4E2A9	unreviewed
NP_075011.1	P09912	reviewed
NP_055481.1	Q14677	reviewed
NP_055481.1	A0A0S2Z4Y4	unreviewed
NP_003650.1	O00116	reviewed
NP_004971.2	Q9UK17	reviewed
NP_006833.2	Q13435	reviewed
NP_055463.1	Q86Y13	reviewed
NP_003757.1	Q14457	reviewed
NP_003757.1	A0A024R1X5	unreviewed
NP_060848.2	Q96CD0	reviewed
NP_932157.1	Q8IXK0	reviewed
NP_055447.1	O94851	reviewed
NP_036399.3	Q9NZL4	reviewed
NP_036288.2	Q9H4G0	reviewed
NP_060834.2	Q5VWQ0	reviewed
NP_008886.1	Q06732	reviewed
NP_036537.1	O60725	reviewed
NP_036537.1	A0A024R4F6	unreviewed
NP_056511.2	Q96SL4	reviewed
NP_001013768.1	Q9UII5	reviewed
NP_001013768.1	A0A024R5Y9	unreviewed
NP_060537.3	Q3KQU3	reviewed
NP_000961.2	Q02878	reviewed
NP_000961.2	A0A024RBK3	unreviewed
NP_003051.1	O76082	reviewed
NP_009115.2	Q9Y2I1	reviewed
NP_003795.2	Q13546	reviewed
NP_003795.2	A0A024QZU0	unreviewed
NP_932174.1	Q99576	reviewed
NP_002178.2	P29460	reviewed
NP_002112.3	P04440	reviewed
NP_002112.3	I4EC15	unreviewed
NP_001961.1	P63241	reviewed
NP_054831.2	Q9UHF7	reviewed
NP_002018.1	P49354	reviewed
NP_001507.2	Q13889	reviewed
NP_001005386.1	P61160	reviewed
NP_036236.1	P56817	reviewed
NP_036236.1	A0A024R3D7	unreviewed
NP_037373.2	Q9Y613	reviewed
NP_002073.2	P43250	reviewed
NP_057075.1	P02745	reviewed
NP_057075.1	A0A024RAG6	unreviewed
NP_079410.4	Q3L8U1	reviewed
NP_973730.1	P07992	reviewed
NP_056937.2	Q04323	reviewed
NP_056937.2	A0A024R539	unreviewed
NP_078943.1	Q9H9H4	reviewed
NP_078943.1	A0A024RBU0	unreviewed
NP_002006.2	Q12778	reviewed
NP_004274.1	O95716	reviewed
NP_004274.1	A0A024R7G2	unreviewed
NP_004890.2	Q9NXR7	reviewed
NP_003933.1	O75676	reviewed
NP_003933.1	A0PJF8	unreviewed
NP_002634.1	Q07326	reviewed
NP_002634.1	Q6IB04	unreviewed
NP_612370.3	Q6UWE0	reviewed
NP_612370.3	A0A024R870	unreviewed
NP_001386.1	Q99956	reviewed
NP_001386.1	B2RAL9	unreviewed
NP_001623.3	P05187	reviewed
NP_001623.3	B2R7C7	unreviewed
NP_115647.2	Q6Q0C0	reviewed
NP_115647.2	B3KQY7	unreviewed
NP_000653.3	P18440	reviewed
NP_002881.1	P20936	reviewed
NP_002881.1	Q59GK3	unreviewed
NP_689934.2	Q6PKX4	reviewed
NP_005484.2	Q96S59	reviewed
NP_005484.2	A0A024QZW3	unreviewed
NP_061833.1	Q14749	reviewed
NP_061833.1	V9HW60	unreviewed
NP_037434.1	O00418	reviewed
NP_004091.3	O95677	reviewed
NP_004091.3	Q96CJ7	unreviewed
NP_932173.1	Q14524	reviewed
NP_000023.2	P22557	reviewed
NP_060082.2	Q6NZY4	reviewed
NP_000531.2	P21817	reviewed
NP_060230.5	Q86XI2	reviewed
NP_005068.2	Q04724	reviewed
NP_005068.2	Q59EF7	unreviewed
NP_001370.1	P26358	reviewed
NP_001370.1	I6L9H2	unreviewed
NP_000157.1	P08034	reviewed
NP_000157.1	A0A654ICJ7	unreviewed
NP_003593.3	O75344	reviewed
NP_079497.2	Q6PIL6	reviewed
NP_004637.1	O60500	reviewed
NP_000220.1	P04180	reviewed
NP_000220.1	A0A140VK24	unreviewed
NP_001511.2	Q12789	reviewed
NP_002609.1	Q92968	reviewed
NP_037510.1	Q9UKI3	reviewed
NP_775934.3	Q9UHL3	reviewed
NP_001073136.1	P43699	reviewed
NP_060740.1	Q9NV56	reviewed
NP_001002.1	P62081	reviewed
NP_002816.1	P21246	reviewed
NP_002816.1	A0A024R778	unreviewed
NP_078889.1	Q9H8W4	reviewed
NP_003717.3	Q86WV1	reviewed
NP_057212.1	Q9Y678	reviewed
NP_002416.1	P09238	reviewed
NP_003376.2	P62760	reviewed
NP_005021.2	P53350	reviewed
NP_001408.2	P23588	reviewed
NP_000409.1	P24394	reviewed
NP_001797.1	P53567	reviewed
NP_113686.1	O14610	reviewed
NP_079452.3	Q9Y2I6	reviewed
NP_003253.1	Q99442	reviewed
NP_005219.2	P00533	reviewed
NP_005219.2	F2YGG7	unreviewed
NP_005219.2	Q504U8	unreviewed
NP_056326.2	Q9Y312	reviewed
NP_056176.2	Q15032	reviewed
NP_775098.2	Q92870	reviewed
NP_001577.1	O15482	reviewed
NP_114105.1	Q9BQQ3	reviewed
NP_114105.1	A0A024R2U5	unreviewed
NP_114105.1	B3KPY8	unreviewed
NP_758957.2	P02747	reviewed
NP_758957.2	A0A024RAA7	unreviewed
NP_997219.1	Q7Z7K2	reviewed
NP_002060.4	P63096	reviewed
NP_005908.1	P40925	reviewed
NP_005908.1	V9HWF2	unreviewed
NP_077271.1	Q9BUN8	reviewed
NP_077271.1	A0A024R9G3	unreviewed
NP_149075.2	Q9BXW9	reviewed
NP_003029.2	P43007	reviewed
NP_001194.1	O00238	reviewed
NP_004403.1	O14717	reviewed
NP_004403.1	Q6ICS7	unreviewed
NP_002640.2	P48736	reviewed
NP_002640.2	A0A024R720	unreviewed
NP_055866.1	Q9BS26	reviewed
NP_055866.1	A0A384MEE7	unreviewed
NP_057368.3	A5YKK6	reviewed
NP_001488.2	P15291	reviewed
NP_573572.1	Q4VCS5	reviewed
NP_149055.1	Q96JB8	reviewed
NP_071447.1	Q9GZM7	reviewed
NP_000962.2	P18124	reviewed
NP_991403.1	Q86X29	reviewed
NP_001020.2	P62854	reviewed
NP_001020.2	A0A024RB14	unreviewed
NP_000781.1	P20711	reviewed
NP_000781.1	A0A0S2Z3N4	unreviewed
NP_000781.1	Q53Y41	unreviewed
NP_006387.1	O60232	reviewed
NP_620586.3	Q8NI17	reviewed
NP_620586.3	B4DNJ2	unreviewed
NP_037425.1	Q13595	reviewed
NP_037425.1	Q549U1	unreviewed
NP_001093.1	P12814	reviewed
NP_001093.1	A0A024R694	unreviewed
NP_006067.3	O95081	reviewed
NP_006067.3	A4D2D6	unreviewed
NP_006230.2	O14830	reviewed
NP_149061.1	Q9BXW7	reviewed
NP_004950.2	Q13285	reviewed
NP_004950.2	F1D8R8	unreviewed
NP_624302.1	P48740	reviewed
NP_000217.2	P35527	reviewed
NP_003523.1	P68431	reviewed
NP_055108.2	O95502	reviewed
NP_006275.1	Q12962	reviewed
NP_036531.1	P48739	reviewed
NP_001076777.1	Q56P42	reviewed
NP_002689.1	P09086	reviewed
NP_059138.1	Q9NR96	reviewed
NP_001008661.1	Q6YP21	reviewed
NP_001008661.1	B4DW13	unreviewed
NP_115980.1	Q96T83	reviewed
NP_115980.1	A0A024R176	unreviewed
NP_776170.2	Q6QNY1	reviewed
NP_776170.2	F1T0F0	unreviewed
NP_057238.3	P61018	reviewed
NP_057238.3	A0A024R0K8	unreviewed
NP_056273.2	Q96QG7	reviewed
NP_068811.1	P28702	reviewed
NP_068811.1	Q5STP9	unreviewed
NP_114147.2	Q8N6Y0	reviewed
NP_114147.2	A0A024R7H3	unreviewed
NP_000919.1	P04054	reviewed
NP_055656.1	O60641	reviewed
NP_570133.1	Q96GT9	reviewed
NP_570133.1	A0A024R2A6	unreviewed
NP_076924.1	Q9H2A3	reviewed
NP_002488.1	P51955	reviewed
NP_004873.3	Q86X95	reviewed
NP_005297.1	O15552	reviewed
NP_005297.1	C6KYL4	unreviewed
NP_006029.1	Q9UM82	reviewed
NP_006029.1	B4DID4	unreviewed
NP_115706.1	Q96L46	reviewed
NP_056646.1	P22303	reviewed
NP_060849.2	Q8N5J2	reviewed
NP_068774.1	P63211	reviewed
NP_037514.2	Q9UKY4	reviewed
NP_003611.1	O15297	reviewed
NP_003611.1	A0A0S2Z4M2	unreviewed
NP_001092001.1	Q99777	unreviewed
NP_006776.1	Q9UDY8	reviewed
NP_006776.1	A8K5S1	unreviewed
NP_060962.2	Q96KB5	reviewed
NP_060962.2	V9HWH0	unreviewed
NP_077310.1	Q9BTV4	reviewed
NP_077310.1	A0A024R2F9	unreviewed
NP_006428.2	Q9UKK3	reviewed
NP_003215.1	Q13795	reviewed
NP_003215.1	A0A384P5U7	unreviewed
NP_005567.2	Q08397	reviewed
NP_003562.1	Q13515	reviewed
NP_055211.2	P49754	reviewed
NP_000605.1	P26441	reviewed
NP_001014308.2	Q8NEM7	reviewed
NP_005650.2	Q92890	reviewed
NP_005650.2	Q541A5	unreviewed
NP_001372.1	Q99704	reviewed
NP_001372.1	B3KP83	unreviewed
NP_000782.1	P00374	reviewed
NP_000782.1	B0YJ76	unreviewed
NP_001008701.1	O94910	reviewed
NP_055496.2	Q14147	reviewed
NP_078794.1	Q9BZM4	reviewed
NP_995314.1	Q9Y2A7	reviewed
NP_001030126.1	Q9BX66	reviewed
NP_004836.2	Q9Y5K3	reviewed
NP_004850.1	Q00610	reviewed
NP_203127.3	Q96P09	reviewed
NP_203127.3	Q6PIA0	unreviewed
NP_002995.1	Q8WVN6	reviewed
NP_055416.2	Q9NZN4	reviewed
NP_055416.2	A0A024R0S6	unreviewed
NP_006435.2	O95347	reviewed
NP_006435.2	A0A024R158	unreviewed
NP_006435.2	Q05BV1	unreviewed
NP_006435.2	Q05D74	unreviewed
NP_006435.2	Q7Z2X1	unreviewed
NP_001044.1	P35346	reviewed
NP_775748.2	Q495M9	reviewed
NP_002014.2	Q06828	reviewed
NP_002014.2	A0A024R971	unreviewed
NP_002014.2	B3KS64	unreviewed
NP_002014.2	Q12833	unreviewed
NP_733765.1	P16615	reviewed
NP_733765.1	A0A0S2Z3L2	unreviewed
NP_057626.2	Q9P289	reviewed
NP_004047.3	P35219	reviewed
NP_002804.2	O00233	reviewed
NP_036479.1	Q9UK97	reviewed
NP_005000.1	O00746	reviewed
NP_061730.1	Q9UN74	reviewed
NP_061730.1	Q59H34	unreviewed
NP_060681.2	Q9HCJ3	reviewed
NP_005054.3	O00767	reviewed
NP_002460.1	P23409	reviewed
NP_055852.2	A7E2V4	reviewed
NP_001071089.1	Q86XT2	reviewed
NP_000170.1	P52701	reviewed
NP_000170.1	Q3SWU9	unreviewed
NP_997698.1	Q9BZC7	reviewed
NP_000259.1	P35240	reviewed
NP_000259.1	A0A024R1J8	unreviewed
NP_115662.2	Q9BTT4	reviewed
NP_001726.2	P01031	reviewed
NP_000786.1	P14416	reviewed
NP_000786.1	A0A024R3C5	unreviewed
NP_061863.1	O75995	reviewed
NP_068745.2	Q9H161	reviewed
NP_112240.1	Q9BPX5	reviewed
NP_112240.1	A0A024R897	unreviewed
NP_112240.1	B3KPC7	unreviewed
NP_689871.1	Q8NA92	reviewed
NP_002937.1	P15927	reviewed
NP_002180.1	Q13261	reviewed
NP_001412.1	Q99607	reviewed
NP_001512.1	Q8WUA4	reviewed
NP_005144.2	Q14694	reviewed
NP_059431.1	Q99418	reviewed
NP_006156.2	Q6P4R8	reviewed
NP_003724.1	Q15646	reviewed
NP_002433.1	O43347	reviewed
NP_000225.1	P18858	reviewed
NP_055323.2	Q9NRW3	reviewed
NP_002790.1	Q99436	reviewed
NP_002790.1	E9KL30	unreviewed
NP_055438.1	Q16626	reviewed
NP_065933.2	Q9P218	reviewed
NP_054860.1	Q9UHC6	reviewed
NP_054860.1	A0A090N7T7	unreviewed
NP_054860.1	B2RCH4	unreviewed
NP_006433.2	Q14919	reviewed
NP_005382.1	Q15120	reviewed
NP_057178.2	Q86X83	reviewed
NP_055907.3	Q96Q15	reviewed
NP_055184.2	Q99952	reviewed
NP_005547.3	P08729	reviewed
NP_005928.2	P55198	reviewed
NP_115597.3	Q8TD26	reviewed
NP_002883.3	P29374	reviewed
NP_002883.3	A0A024R657	unreviewed
NP_002883.3	Q05CG0	unreviewed
NP_001894.2	P35221	reviewed
NP_001894.2	A0A384MDY0	unreviewed
NP_000893.2	P08473	reviewed
NP_858043.1	Q15722	reviewed
NP_004789.1	O15066	reviewed
NP_066288.2	O75398	reviewed
NP_006171.2	Q16620	reviewed
NP_006171.2	A0A024R230	unreviewed
NP_006171.2	Q5VWE5	unreviewed
NP_055383.1	Q7Z7M9	reviewed
NP_036243.1	O95433	reviewed
NP_203528.2	Q7Z4T9	reviewed
NP_003091.2	O60749	reviewed
NP_001651.1	P18085	reviewed
NP_203524.1	P01116	reviewed
NP_203524.1	I1SRC5	unreviewed
NP_203524.1	L7RSL8	unreviewed
NP_055533.2	Q9BQT9	reviewed
NP_060457.4	Q8WXA3	reviewed
NP_076972.2	Q96N11	reviewed
NP_005909.2	P40926	reviewed
NP_005909.2	A0A024R4K3	unreviewed
NP_005909.2	B3KTM1	unreviewed
NP_055517.3	Q6ZU52	reviewed
NP_065983.1	Q9HCI5	reviewed
NP_004414.3	Q92997	reviewed
NP_003824.2	A2RRP8	unreviewed
NP_003824.2	B3KQB2	unreviewed
NP_000667.1	P29275	reviewed
NP_004770.4	Q9UFF9	reviewed
NP_005964.3	Q92733	reviewed
NP_005964.3	A0A0S2Z456	unreviewed
NP_005964.3	Q96FT4	unreviewed
NP_000839.1	P28161	reviewed
NP_000839.1	A0A384P5E9	unreviewed
NP_000839.1	Q0D2I8	unreviewed
NP_054728.2	Q9BZS1	reviewed
NP_055769.2	Q9Y2J0	reviewed
NP_001288.3	Q14028	reviewed
NP_003372.1	P01282	reviewed
NP_068839.1	Q9Y287	reviewed
NP_068839.1	A0A384MDP7	unreviewed
NP_076918.1	P01562	reviewed
NP_076918.1	L0N195	unreviewed
NP_002475.2	P53384	reviewed
NP_619580.1	Q9HB09	reviewed
NP_001760.1	P21926	reviewed
NP_000551.1	P19397	reviewed
NP_057316.3	Q01638	reviewed
NP_003350.1	O60701	reviewed
NP_109588.2	P49901	reviewed
NP_109588.2	Q5T7P5	unreviewed
NP_002422.1	P51948	reviewed
NP_002422.1	A0A024R688	unreviewed
NP_067076.2	Q9HCM9	reviewed
NP_067076.2	A0A024RCP5	unreviewed
NP_009103.2	Q9UKX7	reviewed
NP_009103.2	A0A024R4X7	unreviewed
NP_001028733.1	Q96QT6	reviewed
NP_005224.2	P29320	reviewed
NP_005224.2	A0A140VJJ0	unreviewed
NP_005224.2	Q6P4R6	unreviewed
NP_001539.3	P09914	reviewed
NP_005345.3	P17535	reviewed
NP_006089.1	P63244	reviewed
NP_006089.1	E9KL35	unreviewed
NP_036462.2	Q8WYB5	reviewed
NP_036462.2	B2RWN8	unreviewed
NP_065394.1	Q9GZU1	reviewed
NP_003194.3	P16383	reviewed
NP_003194.3	A4UHR0	unreviewed
NP_001630.1	P02743	reviewed
NP_001630.1	V9HWP0	unreviewed
NP_079130.2	Q8WU10	reviewed
NP_008841.2	Q7Z6E9	reviewed
NP_055826.1	Q9Y6X6	reviewed
NP_055732.2	Q9Y2I2	reviewed
NP_003784.2	Q9UBX1	reviewed
NP_056384.2	Q9UQ16	reviewed
NP_116764.2	P42575	reviewed
NP_116764.2	A0A0S2Z3H1	unreviewed
NP_115874.3	Q9UJA3	reviewed
NP_115874.3	B4DN82	unreviewed
NP_037394.2	Q8WY64	reviewed
NP_006764.3	Q9NVP1	reviewed
NP_006764.3	Q8N254	unreviewed
NP_001329.1	P78310	reviewed
NP_001035207.1	Q96P48	reviewed
NP_031399.2	Q9UQ13	reviewed
NP_003789.1	Q9UBT7	reviewed
NP_003789.1	B3KMX6	unreviewed
NP_057403.1	Q9UBW8	reviewed
NP_068369.1	Q9P0K1	reviewed
NP_689807.1	Q7Z699	reviewed
NP_039269.2	P49916	reviewed
NP_001887.1	P19784	reviewed
NP_036454.1	Q9Y4Y9	reviewed
NP_036454.1	A0A090N8Y5	unreviewed
NP_056671.2	Q9UIS9	reviewed
NP_001020330.1	P04233	reviewed
NP_002264.1	P05787	reviewed
NP_055168.2	Q9ULW5	reviewed
NP_542196.2	P12107	reviewed
NP_542196.2	Q59HB5	unreviewed
NP_775762.1	P83369	reviewed
NP_009108.1	O95990	reviewed
NP_009108.1	Q6IAM1	unreviewed
NP_055859.1	Q9UJY4	reviewed
NP_112420.1	P09651	reviewed
NP_112420.1	A0A024RAZ7	unreviewed
NP_863651.1	O14727	reviewed
NP_001759.3	P01732	reviewed
NP_001759.3	Q6ZVS2	unreviewed
NP_001759.3	Q8TAW8	unreviewed
NP_444284.1	P24385	reviewed
NP_444284.1	Q6FI00	unreviewed
NP_004052.2	P55289	reviewed
NP_079016.2	Q9H6U8	reviewed
NP_116244.1	Q96JZ2	reviewed
NP_055647.2	O60343	reviewed
NP_005925.2	Q03111	reviewed
NP_689729.1	Q8N668	reviewed
NP_036575.1	O75602	reviewed
NP_036575.1	A0A140VJU9	unreviewed
NP_001487.2	O60609	reviewed
NP_066286.1	P16619	reviewed
NP_004438.3	Q12929	reviewed
NP_004438.3	B4E3T6	unreviewed
NP_612639.2	Q7Z7C8	reviewed
NP_109591.1	P30740	reviewed
NP_109591.1	V9HWH1	unreviewed
NP_006684.1	O95639	reviewed
NP_002382.1	P21741	reviewed
NP_002185.1	P49441	reviewed
NP_002185.1	Q6IBG4	unreviewed
NP_112586.1	Q9H082	reviewed
NP_291031.2	Q02747	reviewed
NP_005971.1	P25815	reviewed
NP_060492.1	Q9NW97	reviewed
NP_060492.1	A0A024QZ97	unreviewed
NP_002071.2	P00505	reviewed
NP_055622.3	O14523	reviewed
NP_055082.1	O00193	reviewed
NP_006088.2	P24844	reviewed
NP_006088.2	A0A384NY64	unreviewed
NP_001740.1	P04632	reviewed
NP_085048.1	Q9BT67	reviewed
NP_055966.2	Q14689	reviewed
NP_036541.2	Q9UKY0	reviewed
NP_036541.2	A7U7M2	unreviewed
NP_056000.1	O43307	reviewed
NP_057604.1	Q9NZ63	reviewed
NP_077733.3	Q32NB8	reviewed
NP_077733.3	A0A024R8V5	unreviewed
NP_066997.3	Q8N163	reviewed
NP_705843.1	Q8IZJ4	reviewed
NP_006135.1	P12544	reviewed
NP_055677.3	Q9HBZ2	reviewed
NP_055677.3	Q7Z3A3	unreviewed
NP_055677.3	Q86TN1	unreviewed
NP_055677.3	X5DQN9	unreviewed
NP_059109.3	Q9ULZ1	reviewed
NP_057340.2	Q9UK23	reviewed
NP_003156.1	P61764	reviewed
NP_004496.2	P35125	reviewed
NP_003267.1	P42166	reviewed
NP_002862.2	P47224	reviewed
NP_002862.2	Q53EV1	unreviewed
NP_006537.3	Q9NZI8	reviewed
NP_036328.1	Q9UEU5	reviewed
NP_004094.3	Q14289	reviewed
NP_000789.1	P21918	reviewed
NP_001091990.1	Q9BUP3	reviewed
NP_001405.1	Q14232	reviewed
NP_115901.2	Q76G19	reviewed
NP_660308.1	Q96BQ5	reviewed
NP_005409.3	P78524	reviewed
NP_057330.2	Q9BPX1	reviewed
NP_057330.2	A0A140VJH8	unreviewed
NP_000558.2	P02741	reviewed
NP_004059.2	Q96CW1	reviewed
NP_008987.2	Q8N2M8	reviewed
NP_008987.2	A0A0A0MQS2	unreviewed
NP_057268.1	Q9UMR7	reviewed
NP_002770.3	A5PKW4	reviewed
NP_008871.3	P35711	reviewed
NP_008871.3	A0A024RB06	unreviewed
NP_060267.2	Q9BX70	reviewed
NP_002597.1	O76083	reviewed
NP_002597.1	A0A0S2Z4T6	unreviewed
NP_005910.1	Q02080	reviewed
NP_005910.1	A0A024R7N0	unreviewed
NP_775323.1	P15907	reviewed
NP_005515.1	Q14469	reviewed
NP_005162.1	P18846	reviewed
NP_005038.1	Q16401	reviewed
NP_002665.2	P20382	reviewed
NP_068707.1	O60941	reviewed
NP_000296.2	Q15165	reviewed
NP_001481.2	Q02742	reviewed
NP_001481.2	Q86T81	unreviewed
NP_061931.1	Q9NX09	reviewed
NP_061931.1	A0A024QZQ6	unreviewed
NP_612427.2	Q9BUT9	reviewed
NP_061980.1	Q969H8	reviewed
NP_874364.1	Q8N5W9	reviewed
NP_036309.1	Q9UKT4	reviewed
NP_068656.2	P02679	reviewed
NP_079120.1	Q9BW27	reviewed
NP_004031.1	P62745	reviewed
NP_003712.1	O14593	reviewed
NP_003712.1	A0A024R7M1	unreviewed
NP_004055.1	P46527	reviewed
NP_004055.1	Q6I9V6	unreviewed
NP_003289.2	P49116	reviewed
NP_003289.2	F2YGU2	unreviewed
NP_054778.2	Q9H4X1	reviewed
NP_005427.2	Q16204	reviewed
NP_005427.2	Q05CP8	unreviewed
NP_003708.1	O15130	reviewed
NP_002802.2	P51665	reviewed
NP_113667.1	P58166	reviewed
NP_573441.2	Q8TE68	reviewed
NP_647478.1	Q96CA5	reviewed
NP_060060.3	Q9UGR2	reviewed
NP_005487.3	Q9NTJ3	reviewed
NP_004480.1	Q13227	reviewed
NP_060247.2	Q9NXB0	reviewed
NP_002219.1	P05412	reviewed
NP_005466.1	Q9UQQ2	reviewed
NP_005466.1	Q59H48	unreviewed
NP_000387.1	P43235	reviewed
NP_060140.2	Q96FW1	reviewed
NP_060140.2	B3KUV5	unreviewed
NP_000953.2	P23219	reviewed
NP_002154.1	Q02556	reviewed
NP_536722.1	Q96P63	reviewed
NP_004263.1	Q86YM7	reviewed
NP_004263.1	Q5U5K4	unreviewed
NP_001073286.1	P23229	reviewed
NP_000102.1	P40879	reviewed
NP_004927.2	P42772	reviewed
NP_004927.2	K7PPU3	unreviewed
NP_002716.1	P51888	reviewed
NP_003579.3	Q13620	reviewed
NP_001075042.1	Q8WWW8	reviewed
NP_001092047.1	P62899	reviewed
NP_001002755.1	Q9UMS0	reviewed
NP_001035257.1	Q8NES3	reviewed
NP_002807.1	O00232	reviewed
NP_002807.1	A0A0S2Z489	unreviewed
NP_001010848.2	P56975	reviewed
NP_001010848.2	B9EGV5	unreviewed
NP_065109.1	Q96AD5	reviewed
NP_004526.1	Q01538	reviewed
NP_003090.2	Q13596	reviewed
NP_005557.1	P00338	reviewed
NP_005557.1	V9HWB9	unreviewed
NP_065098.1	Q9NR50	reviewed
NP_065098.1	Q9HA31	unreviewed
NP_689905.1	Q96EU7	reviewed
NP_004534.2	P20929	reviewed
NP_004534.2	Q05C45	unreviewed
NP_004534.2	Q96MF8	unreviewed
NP_004564.2	Q00722	reviewed
NP_004564.2	Q59F77	unreviewed
NP_057512.1	Q9P2A4	reviewed
NP_055419.1	O14907	reviewed
NP_003751.2	O43432	reviewed
NP_003751.2	Q59GJ0	unreviewed
NP_055642.3	O75152	reviewed
NP_001595.2	P26367	reviewed
NP_001595.2	F1T0F8	unreviewed
NP_003226.4	P01266	reviewed
NP_004353.1	O14967	reviewed
NP_004353.1	A0A140VKG2	unreviewed
NP_003093.2	P08294	reviewed
NP_003093.2	A0A140VJU8	unreviewed
NP_068808.1	P61296	reviewed
NP_002261.3	Q92973	reviewed
NP_002261.3	A0A024RAM0	unreviewed
NP_115984.3	Q96SB3	reviewed
NP_006167.1	Q92686	reviewed
NP_006167.1	A0A024R3M7	unreviewed
NP_055618.2	Q6AHZ1	reviewed
NP_061960.1	Q9NXU5	reviewed
NP_001212.2	Q13557	reviewed
NP_006593.2	Q9UL49	reviewed
NP_006593.2	Q86TP4	unreviewed
NP_060357.1	Q9NWV4	reviewed
NP_009009.1	O75112	reviewed
NP_001001.2	P62753	reviewed
NP_001001.2	A2A3R6	unreviewed
NP_002554.1	P47900	reviewed
NP_006511.1	P51808	reviewed
NP_000230.1	P61626	reviewed
NP_000230.1	B2R4C5	unreviewed
NP_073617.1	Q9H871	reviewed
NP_006316.1	P62826	reviewed
NP_005441.1	Q13253	reviewed
NP_005988.1	Q15906	reviewed
NP_068573.2	Q9NRE1	reviewed
NP_006232.1	P41236	reviewed
NP_612471.1	Q96E35	reviewed
NP_006056.2	O00241	reviewed
NP_005577.1	Q99750	reviewed
NP_005577.1	A0A024RCY2	unreviewed
NP_000697.1	P37288	reviewed
NP_000697.1	X5D2B0	unreviewed
NP_077000.1	Q9H765	reviewed
NP_060836.1	Q9NUP1	reviewed
NP_076952.1	Q9BW91	reviewed
NP_076952.1	Q96KB3	unreviewed
NP_061027.2	Q9NZR2	reviewed
NP_054888.2	Q9BY43	reviewed
NP_060192.1	Q9NXH9	reviewed
NP_060192.1	A0A024R7I5	unreviewed
NP_004757.1	P35606	reviewed
NP_004801.1	O75791	reviewed
NP_004801.1	Q6FI14	unreviewed
NP_005614.2	P80075	reviewed
NP_612452.1	Q96CS2	reviewed
NP_003907.3	P56377	reviewed
NP_003907.3	Q549M9	unreviewed
NP_002872.1	P11234	reviewed
NP_002872.1	A0A024RAG3	unreviewed
NP_058625.2	Q9NZA1	reviewed
NP_058625.2	Q53G01	unreviewed
NP_127491.1	O75618	reviewed
NP_037497.1	Q9UJY5	reviewed
NP_862827.1	Q8N143	reviewed
NP_862827.1	A8KA13	unreviewed
NP_031388.2	P52298	reviewed
NP_006498.1	P48304	reviewed
NP_006498.1	Q6ICS1	unreviewed
NP_005208.1	P59666	reviewed
NP_005208.1	Q6EZE9	unreviewed
NP_065851.1	Q9P2H3	reviewed
